Sale_ID,Sale_Date,Customer_Name,Customer_Age_Group,Gender,City,State,Item_Name,Category,Original_Price,Discount_Percent,Discounted_Price,Quantity,Payment_Mode,Profit
BF00033,18-07-2024,Paul Johnson,18-25,Male,Port Anthony,Hawaii,Along,Beauty,24834,79,5215.14,3,Gift Card,400.13
BF00034,13-09-2024,Timothy Rodriguez,46-60,Male,Port Jasonborough,Indiana,Office,Sports,21604,41,12746.36,1,Credit Card,2515.15
BF00035,08-08-2024,Joseph Stevens Jr.,36-45,Female,Williamsonmouth,West Virginia,His,Electronics,6318,58,2653.56,3,Gift Card,499.01
BF00036,23-01-2024,Lauren Peterson,36-45,Male,North Jenniferville,Wyoming,Feel,Beauty,7214,54,3318.44,3,UPI,479.28
BF00037,03-03-2024,Joseph Wood,26-35,Other,Christopherburgh,North Dakota,Bag,Beauty,31018,63,11476.66,4,UPI,1865.04
BF00038,12-06-2024,Valerie Logan,60+,Other,New Ashley,Utah,Prevent,Toys,1988,46,1073.52,4,Debit Card,123.29
BF00039,03-06-2024,Linda Lynch,36-45,Other,New Courtney,Hawaii,Near,Home Appliances,22251,72,6230.28,3,UPI,462.04
BF00040,13-08-2024,Brian Boyd,60+,Female,Pamelashire,Illinois,Every,Toys,39618,53,18620.46,4,Credit Card,4195.46
BF00041,07-04-2024,Michael Henson,18-25,Other,North Sara,Wyoming,Mr,Beauty,41765,48,21717.8,3,Debit Card,1467.31
BF00042,25-08-2024,Michael Duncan,18-25,Female,East Michael,Kentucky,Individual,Beauty,45081,51,22089.69,3,Credit Card,2121.99
BF00043,11-06-2024,Robert Kane,36-45,Other,Myersport,Minnesota,Drive,Clothing,11576,17,9608.08,1,Credit Card,2360.19
BF00044,14-12-2023,Daniel Johnson,36-45,Female,Ericbury,Tennessee,Building,Clothing,4372,23,3366.44,4,Debit Card,571.73
BF00045,23-08-2024,Troy Short,18-25,Male,Fitzgeraldchester,Delaware,Land,Home Appliances,6486,66,2205.24,3,UPI,247.89
BF00046,13-02-2024,Donna Underwood,60+,Female,Brownton,Missouri,Occur,Clothing,4912,26,3634.88,1,Cash,606.05
BF00047,13-04-2024,David Durham,60+,Male,Barryburgh,Ohio,Individual,Beauty,32588,68,10428.16,3,Cash,2151.16
BF00048,30-10-2023,Elizabeth Reyes,60+,Female,Davisville,Utah,Hold,Beauty,12044,52,5781.12,1,Credit Card,689.15
BF00049,16-01-2024,Jerome Alvarez,60+,Male,New Staceyburgh,Montana,Would,Beauty,28824,31,19888.56,2,UPI,2236.56
BF00050,30-08-2024,Katherine Reid,36-45,Other,Hicksside,Delaware,Modern,Clothing,13878,50,6939,2,Debit Card,727.99
BF00051,18-12-2023,Glenn Williams,60+,Male,Danielchester,Maryland,Reduce,Home Appliances,32055,61,12501.45,4,Gift Card,2575
BF00052,19-11-2023,Toni Evans,36-45,Female,Lake Brettborough,Missouri,Myself,Electronics,29465,41,17384.35,3,UPI,4209.45
BF00053,25-08-2024,Laura Pineda,26-35,Female,South Leslie,New Jersey,Same,Toys,43899,32,29851.32,1,UPI,2102.62
BF00054,31-07-2024,Angela Shannon,46-60,Male,West Graceland,Washington,This,Beauty,28186,15,23958.1,4,Cash,5842.08
BF00055,15-06-2024,Samuel Hernandez,60+,Other,South Jonbury,Kansas,Mention,Home Appliances,44584,25,33438,3,UPI,7219.74
BF00056,04-07-2024,Stephen King,60+,Male,Jenningsshire,Florida,Away,Beauty,14017,27,10232.41,1,Cash,1652.06
BF00057,06-09-2024,Susan Palmer MD,18-25,Female,New Jenniferborough,Colorado,Region,Sports,38915,16,32688.6,3,Cash,2054.86
BF00058,11-06-2024,Hannah Harris,18-25,Other,New Josephshire,Massachusetts,Note,Beauty,15790,14,13579.4,1,Credit Card,2891.09
BF00059,26-01-2024,Anna Vasquez,18-25,Male,New Kennethside,Oklahoma,North,Toys,47751,64,17190.36,2,Cash,3258.23
BF00060,30-01-2024,Matthew Cook,26-35,Female,West Megan,Missouri,Much,Electronics,18232,45,10027.6,2,Credit Card,742.75
BF00061,27-07-2024,Christine Holmes,60+,Other,West Gregoryshire,Georgia,Serious,Beauty,40139,42,23280.62,2,UPI,4407.74
BF00062,10-01-2024,Dorothy Hutchinson,26-35,Male,South Douglas,Wyoming,Father,Home Appliances,3609,29,2562.39,3,Cash,357.11
BF00063,11-04-2024,Joseph Smith,60+,Male,Stephanieton,Utah,Two,Toys,38516,74,10014.16,1,Gift Card,724.68
BF00064,26-02-2024,Danny Johnson,60+,Male,West Davidberg,Connecticut,Amount,Beauty,25200,40,15120,2,Credit Card,1818.9
BF00065,16-09-2024,Joseph Harvey,46-60,Female,North Mary,Idaho,Once,Home Appliances,28678,52,13765.44,3,UPI,2666.97
BF00066,29-01-2024,Dominique Kelly,36-45,Female,Nguyenmouth,California,Key,Beauty,45655,73,12326.85,1,Debit Card,1154.1
BF00067,20-05-2024,Karen Fisher,26-35,Male,West Aaron,Nevada,Especially,Beauty,8014,44,4487.84,3,Debit Card,979.63
BF00068,02-09-2024,Ms. Jennifer Gallegos,36-45,Male,Melaniebury,Alaska,Toward,Beauty,41521,51,20345.29,2,Credit Card,3276.17
BF00069,25-09-2024,Erin Williams,46-60,Female,West Jasmineburgh,Connecticut,Health,Home Appliances,5589,38,3465.18,2,Gift Card,310.73
BF00070,14-04-2024,Mary Powell,46-60,Male,East Thomasberg,North Carolina,Hot,Clothing,8274,52,3971.52,2,Cash,728.39
BF00071,10-09-2024,Melissa Chapman,36-45,Other,New Marialand,Texas,Single,Clothing,9641,11,8580.49,3,Gift Card,1906.69
BF00072,09-11-2023,Curtis Riley,26-35,Other,Ellenfurt,Illinois,Market,Toys,34482,29,24482.22,2,Debit Card,3082.09
BF00073,15-07-2024,Julian Marshall,36-45,Male,Robertsonmouth,Indiana,Push,Electronics,7584,57,3261.12,4,Credit Card,694.15
BF00074,21-04-2024,Kelly Hernandez,46-60,Other,New Luis,Vermont,Television,Toys,42752,22,33346.56,4,Cash,5513.62
BF00075,06-06-2024,Stephanie Simmons,18-25,Female,Andersonport,Oregon,Executive,Clothing,33974,55,15288.3,2,Gift Card,1930.41
BF00076,03-06-2024,Phillip Yates,46-60,Female,Port Richard,North Dakota,Phone,Sports,16035,44,8979.6,2,Credit Card,1017.08
BF00077,20-01-2024,David Davenport,26-35,Other,West Curtisview,Michigan,Whatever,Home Appliances,48720,25,36540,3,Gift Card,6687.92
BF00078,06-02-2024,Mark Leonard,36-45,Female,Jonathanstad,Alabama,Eight,Home Appliances,12462,43,7103.34,1,Debit Card,685.98
BF00079,07-10-2024,John Brown,46-60,Male,East Jamesbury,Tennessee,Relate,Beauty,19165,12,16865.2,4,Credit Card,3493.24
BF00080,08-03-2024,Ann Holmes,36-45,Other,New Stephanieview,New Hampshire,Physical,Clothing,10016,58,4206.72,2,UPI,569.64
BF00081,03-03-2024,Connie Reyes,18-25,Other,South Thomasside,Kentucky,Trouble,Toys,2311,21,1825.69,1,Debit Card,417.14
BF00082,28-05-2024,Kevin Taylor,18-25,Other,Douglasfort,Alabama,Thing,Electronics,36034,73,9729.18,1,Debit Card,2226.74
BF00083,12-06-2024,Jacob Brown,46-60,Other,Jasonstad,Arizona,Religious,Electronics,37504,25,28128,2,Debit Card,2414.75
BF00084,15-03-2024,Miranda Young DDS,60+,Other,Kevinfurt,New Hampshire,Central,Clothing,3238,12,2849.44,1,UPI,165.4
BF00085,25-11-2023,Kristy Johnson,60+,Female,East Kristen,Georgia,Item,Clothing,32400,23,24948,4,Credit Card,5901.05
BF00086,28-07-2024,Jacob Payne,26-35,Male,Villanuevaville,Maine,Do,Electronics,14509,67,4787.97,1,UPI,708.72
BF00087,28-06-2024,Kelly Kirk,26-35,Female,Powellchester,Delaware,Peace,Toys,36901,33,24723.67,1,UPI,4388.88
BF00088,07-02-2024,Melissa Jenkins,36-45,Male,Hallshire,Kentucky,Simple,Home Appliances,49966,61,19486.74,2,Credit Card,1729.08
BF00089,04-10-2024,James Harris,18-25,Female,Erikstad,New Jersey,Garden,Toys,24838,60,9935.2,4,Credit Card,2236.2
BF00090,14-04-2024,Monica Ward,60+,Other,New Daniel,Washington,Worry,Sports,26365,64,9491.4,2,Debit Card,1444.17
BF00091,29-07-2024,Elizabeth Brock,46-60,Female,North Annettemouth,New York,Offer,Beauty,18554,32,12616.72,2,Credit Card,1795.53
BF00092,22-01-2024,Jenna Roman,60+,Male,Jonathanview,Arkansas,Across,Toys,9810,34,6474.6,2,Credit Card,1060.05
BF00093,21-02-2024,Alexa Davis,46-60,Female,Port Alisonburgh,Idaho,Many,Sports,27880,32,18958.4,3,Cash,3628.26
BF00094,02-07-2024,Sandra Terry,36-45,Female,South Heather,Nebraska,Bar,Electronics,48414,24,36794.64,4,Gift Card,3969.1
BF00095,01-03-2024,April Williams,36-45,Female,North Stephanie,Oklahoma,Book,Toys,20942,55,9423.9,2,Credit Card,975.96
BF00096,27-07-2024,Stacey Woods,18-25,Female,South Sue,New Jersey,Attention,Sports,28549,18,23410.18,1,Cash,3554.44
BF00097,19-04-2024,Brian Torres,60+,Female,Hermanland,Nebraska,Movie,Home Appliances,20916,76,5019.84,2,UPI,540.46
BF00098,09-11-2023,Hannah Chavez,18-25,Male,Rojasstad,Virginia,Writer,Home Appliances,8821,70,2646.3,1,Debit Card,331.23
BF00099,14-01-2024,Darlene Taylor,46-60,Female,Jonestown,North Carolina,Interesting,Beauty,21558,76,5173.92,2,Credit Card,1084.19
BF00100,06-06-2024,Scott Roy,60+,Male,North Valerietown,Wyoming,Morning,Clothing,17926,64,6453.36,1,Cash,1398.08
BF00101,28-04-2024,Matthew Ochoa,60+,Male,Port Robertmouth,Illinois,Off,Home Appliances,1241,27,905.93,2,Debit Card,190.66
BF00102,19-01-2024,John Torres,46-60,Other,North Paul,New Mexico,Available,Electronics,39670,48,20628.4,4,Debit Card,2628.13
BF00103,06-08-2024,Jeffrey Noble,46-60,Female,Darrellmouth,Kentucky,Success,Electronics,19784,43,11276.88,4,Credit Card,1021.11
BF00104,23-07-2024,Stephen Nelson,18-25,Male,Swansonborough,New Hampshire,Wonder,Clothing,36961,40,22176.6,4,Credit Card,5132.08
BF00105,07-05-2024,Christopher Allen,46-60,Female,Lake Stacey,West Virginia,TRUE,Home Appliances,10964,63,4056.68,3,UPI,446.41
BF00106,29-05-2024,Denise Allen,46-60,Other,Lake Lukefurt,New York,Brother,Beauty,4079,38,2528.98,4,Gift Card,327.5
BF00107,12-01-2024,Jonathan Harvey,36-45,Female,West Amy,Idaho,Cut,Home Appliances,36585,31,25243.65,3,Gift Card,5302.66
BF00108,30-05-2024,Mandy Mendez,46-60,Other,Patriciahaven,Idaho,Most,Electronics,19366,28,13943.52,1,Credit Card,1366.86
BF00109,23-03-2024,Samantha Evans,60+,Male,Gibbsland,Florida,Quality,Home Appliances,48605,49,24788.55,3,Debit Card,3320.95
BF00110,18-10-2023,Thomas Moreno,36-45,Other,East Marisa,Minnesota,Animal,Sports,27639,60,11055.6,1,Cash,1486.31
BF00111,22-11-2023,Claire Trujillo,18-25,Other,North Kimberlyland,Delaware,Already,Home Appliances,17400,32,11832,1,UPI,672.94
BF00112,03-08-2024,Bradley Wang,26-35,Male,Mckenzieborough,Indiana,Not,Home Appliances,49834,28,35880.48,1,Debit Card,7636.55
BF00113,20-10-2023,Taylor Castro,26-35,Female,Kellyland,Kansas,Term,Electronics,46167,19,37395.27,4,UPI,2151.75
BF00114,04-07-2024,Christopher Holden,36-45,Female,Laurenfurt,Louisiana,Phone,Toys,8559,30,5991.3,1,Credit Card,779.55
BF00115,22-09-2024,Jon Bennett,46-60,Female,Scottport,Georgia,Government,Clothing,31047,42,18007.26,4,Cash,3951.31
BF00116,24-02-2024,Brian Turner,18-25,Male,Lifort,Louisiana,Allow,Beauty,18419,63,6815.03,1,UPI,446.93
BF00117,31-10-2023,Lauren Odonnell,18-25,Male,North Monicabury,Georgia,Former,Clothing,9784,57,4207.12,1,Debit Card,1048.27
BF00118,20-04-2024,Rebecca Calderon,60+,Other,Armstronghaven,California,Result,Toys,15658,43,8925.06,3,Credit Card,1257.21
BF00119,14-03-2024,Peggy Perry,18-25,Male,North Tyroneport,Colorado,Entire,Beauty,25960,45,14278,1,UPI,1711.72
BF00120,16-11-2023,Kenneth Wilcox,36-45,Female,Danielburgh,New Jersey,Decade,Home Appliances,1948,59,798.68,4,Cash,74.25
BF00121,16-11-2023,Patricia Trevino,36-45,Male,North Laurenshire,Arizona,Wonder,Sports,25795,15,21925.75,4,Gift Card,4010.11
BF00122,08-12-2023,Debbie Mack,36-45,Other,East Patrick,California,Write,Sports,25677,40,15406.2,3,Credit Card,1558.65
BF00123,06-12-2023,Brandy Torres,60+,Other,New Josephton,Alaska,Share,Beauty,43326,36,27728.64,4,Gift Card,2908.24
BF00124,17-07-2024,Michael Johnson,46-60,Other,Port Kathleenbury,Oregon,Executive,Sports,40847,35,26550.55,2,Debit Card,5843.76
BF00125,05-02-2024,Andrea Anderson,36-45,Other,Nicolebury,Louisiana,Fear,Sports,14315,32,9734.2,3,Credit Card,1329.81
BF00126,15-09-2024,Kaitlyn Garcia,18-25,Male,East Susan,Wyoming,Notice,Sports,19149,36,12255.36,3,Cash,1608.42
BF00127,26-03-2024,Sarah Castillo,36-45,Other,Parrishshire,Michigan,Nation,Toys,35358,58,14850.36,1,UPI,3503.51
BF00128,28-02-2024,Jenna Johnson,26-35,Other,Port Rachel,Florida,Husband,Home Appliances,41963,51,20561.87,1,Debit Card,3474.87
BF00129,27-07-2024,Alyssa Malone,36-45,Female,Gavinside,California,Law,Sports,24156,48,12561.12,2,Debit Card,1054.53
BF00130,25-05-2024,Aaron Harrell,46-60,Male,North Evanfurt,Nebraska,Look,Toys,47588,26,35215.12,4,Gift Card,3319.16
BF00131,24-06-2024,Karen Flores,36-45,Other,Hutchinsonport,South Dakota,Rich,Sports,22919,67,7563.27,3,Credit Card,1760.27
BF00132,19-09-2024,Rachel Cochran,36-45,Other,Mcbridestad,Alaska,Officer,Beauty,36136,77,8311.28,2,Cash,1981.81
BF00133,13-12-2023,Sean Hays,18-25,Other,South Randybury,Utah,Character,Home Appliances,8492,75,2123,3,Gift Card,148.2
BF00134,04-06-2024,Kevin Rivera,46-60,Other,North Wayne,Wyoming,Yes,Sports,29406,39,17937.66,4,Gift Card,2502.44
BF00135,31-12-2023,Alan Harper,18-25,Other,Port Christine,New York,Strategy,Clothing,7324,23,5639.48,1,Cash,1024.89
BF00136,18-07-2024,Andrew Mathews,18-25,Female,Mayostad,Missouri,Drive,Home Appliances,13319,57,5727.17,2,Debit Card,332.02
BF00137,17-06-2024,Jesus Cuevas,60+,Female,West Julieland,Tennessee,Issue,Electronics,49257,53,23150.79,3,Debit Card,1554.83
BF00138,10-04-2024,Jenna Davenport,46-60,Other,Darlenebury,Illinois,Assume,Electronics,41745,44,23377.2,2,Gift Card,1576.25
BF00139,31-03-2024,Michael Cook,18-25,Other,Georgeburgh,Iowa,Find,Clothing,30136,50,15068,4,Debit Card,2158.22
BF00140,04-05-2024,Justin Craig,60+,Female,Port Andrewborough,New Jersey,Research,Clothing,34781,71,10086.49,4,Cash,665.95
BF00141,10-08-2024,Russell Clark,18-25,Female,East Samuel,West Virginia,Often,Home Appliances,1109,74,288.34,4,UPI,20.84
BF00142,05-07-2024,Shelby Phillips,36-45,Male,Port Stephanie,California,Heavy,Home Appliances,47486,56,20893.84,4,Debit Card,4492.45
BF00143,30-04-2024,Jesse Hogan,60+,Male,East Jonport,Nevada,Story,Home Appliances,49405,16,41500.2,4,Debit Card,8710.18
BF00144,28-01-2024,Scott Mcguire,36-45,Female,New Joseph,California,Suddenly,Clothing,11900,66,4046,2,UPI,826.13
BF00145,04-08-2024,Matthew Mitchell,26-35,Other,Evansberg,Vermont,Identify,Electronics,37956,72,10627.68,4,Debit Card,2222.51
BF00146,30-06-2024,Jerry Gardner,36-45,Female,Schmidtmouth,Illinois,Single,Sports,33066,42,19178.28,3,UPI,1828.64
BF00147,22-01-2024,Kaitlyn Li,36-45,Male,Hestermouth,California,Writer,Clothing,28346,43,16157.22,2,Gift Card,1961.59
BF00148,19-10-2023,Crystal Rowe,36-45,Other,New Rebeccaport,Wyoming,Standard,Sports,12998,52,6239.04,1,UPI,832.35
BF00149,14-04-2024,Amy Ramos,60+,Female,New Eric,Delaware,Ok,Beauty,19620,14,16873.2,4,Debit Card,3255.29
BF00150,08-06-2024,Troy Williams,46-60,Male,East Keith,South Dakota,Position,Sports,17773,36,11374.72,3,Debit Card,1398.36
BF00151,27-12-2023,Anthony Williams,36-45,Male,Bowmanbury,Montana,Mrs,Beauty,12048,65,4216.8,3,UPI,872.53
BF00152,08-10-2024,Pamela Williams,26-35,Male,West Brendatown,Kentucky,Why,Clothing,47213,64,16996.68,4,Debit Card,3968.05
BF00153,22-06-2024,Lydia Simmons,60+,Female,Port Brianberg,North Dakota,Professor,Sports,24124,32,16404.32,2,Debit Card,1310.1
BF00154,08-03-2024,Patrick Rivera,36-45,Other,North Ronald,Arkansas,Deal,Sports,40235,14,34602.1,2,Credit Card,4696.94
BF00155,25-02-2024,Crystal Castillo,60+,Other,New Stevenview,Nebraska,Time,Clothing,3723,52,1787.04,4,Cash,216.27
BF00156,31-01-2024,Samuel Browning,26-35,Female,East Veronicaberg,Mississippi,Street,Toys,31761,40,19056.6,1,Credit Card,4029.97
BF00157,17-04-2024,Rachel Byrd,46-60,Other,Burtonview,Virginia,Friend,Clothing,41543,55,18694.35,4,Gift Card,2806.1
BF00158,07-10-2024,Laura Cain,26-35,Male,Stricklandfort,Louisiana,Performance,Toys,12193,31,8413.17,4,UPI,2069.38
BF00159,12-03-2024,Margaret Goodwin,60+,Female,Jamesmouth,Nebraska,Pull,Clothing,29544,61,11522.16,2,Cash,2012.68
BF00160,28-09-2024,Jermaine Sanders,46-60,Other,West Heatherfurt,Virginia,Personal,Beauty,15468,69,4795.08,1,Cash,920.17
BF00161,22-05-2024,Jake Preston,46-60,Male,Lake Michaeltown,Arizona,Power,Beauty,23597,41,13922.23,4,Debit Card,2361.52
BF00162,25-08-2024,Michelle Miller,18-25,Male,South Diana,Oklahoma,Congress,Sports,2519,16,2115.96,3,Credit Card,440.35
BF00163,30-03-2024,Joshua Webb,60+,Female,Cummingsstad,Arizona,Rest,Home Appliances,36322,16,30510.48,4,Debit Card,5014.62
BF00164,11-02-2024,Wesley Richards,46-60,Other,Christinabury,Oklahoma,Finish,Home Appliances,20091,60,8036.4,2,Gift Card,1240.01
BF00165,27-10-2023,Michael Melton,36-45,Other,South Timothyfurt,Michigan,Stage,Sports,41876,32,28475.68,2,Cash,3120.05
BF00166,18-04-2024,Jacob Benjamin,26-35,Female,North Michelle,Ohio,Might,Electronics,29931,17,24842.73,3,Cash,1558.14
BF00167,20-11-2023,Julia Brown,26-35,Other,Port Michelleville,New Hampshire,Office,Home Appliances,17637,71,5114.73,2,Credit Card,661.63
BF00168,01-08-2024,Michael Reilly,26-35,Other,Coxtown,Iowa,Structure,Sports,42430,76,10183.2,3,Gift Card,2198.7
BF00169,14-01-2024,Jessica Hall,18-25,Male,South Emma,Kansas,Hard,Clothing,44443,38,27554.66,2,Gift Card,3338.66
BF00170,10-12-2023,Mary Bautista,60+,Other,Millerhaven,Tennessee,Day,Beauty,21818,30,15272.6,3,Gift Card,1243.37
BF00171,01-08-2024,Michelle Dominguez,26-35,Other,Richardsville,Vermont,Attention,Beauty,38072,33,25508.24,1,Gift Card,5731.48
BF00172,16-07-2024,Michelle Raymond,36-45,Other,Theresafort,Arkansas,Arrive,Sports,45811,39,27944.71,4,Credit Card,2651.7
BF00173,02-09-2024,Anthony Jackson,26-35,Other,Eatonland,Delaware,Minute,Sports,11827,49,6031.77,3,UPI,558.98
BF00174,05-03-2024,Tyrone Nelson,18-25,Female,Carolfurt,Pennsylvania,Nature,Toys,39780,26,29437.2,4,Debit Card,1489.42
BF00175,08-05-2024,Janet Watson,36-45,Other,West Jeffreyton,Ohio,Realize,Electronics,33360,32,22684.8,3,Debit Card,2978.24
BF00176,09-08-2024,Jonathan Mosley,46-60,Female,Lake Darlene,Texas,Door,Clothing,29129,54,13399.34,2,Credit Card,1404.81
BF00177,05-06-2024,Terry Ford,18-25,Female,South Ebonyfort,California,Gas,Home Appliances,4130,48,2147.6,3,Debit Card,112.14
BF00178,06-02-2024,Kyle Lindsey,60+,Female,Samuelton,Tennessee,Far,Beauty,17389,25,13041.75,1,Credit Card,794.22
BF00179,19-11-2023,Katie Gonzalez,26-35,Female,Lake Lindsayport,Rhode Island,Action,Home Appliances,32910,67,10860.3,3,Credit Card,577.56
BF00180,08-10-2024,Xavier Perkins,46-60,Male,Patrickhaven,Arkansas,Next,Toys,41884,54,19266.64,2,Credit Card,971.54
BF00181,22-01-2024,Amy Miles,18-25,Male,Rodriguezburgh,New Hampshire,Pull,Sports,21270,40,12762,1,Debit Card,2650.6
BF00182,16-11-2023,Sarah Keller,18-25,Female,Lake Charles,Maryland,Current,Sports,46552,32,31655.36,2,UPI,4224.15
BF00183,14-03-2024,Karen Harris,60+,Other,Jeremychester,Idaho,Tough,Toys,40528,40,24316.8,2,Debit Card,2760.78
BF00184,08-02-2024,Mrs. Dawn Miller,26-35,Male,New Denisemouth,New Jersey,Act,Sports,21872,55,9842.4,1,Credit Card,1824.94
BF00185,27-07-2024,Michelle Rivera,46-60,Other,North Michael,Kansas,Prevent,Home Appliances,9380,25,7035,4,Cash,606.79
BF00186,04-10-2024,James Rice,18-25,Male,Harringtonstad,Virginia,Standard,Clothing,16416,42,9521.28,1,Credit Card,1402.84
BF00187,12-05-2024,Evan Romero,60+,Female,Stephentown,Connecticut,Voice,Electronics,36133,75,9033.25,4,Cash,2028.49
BF00188,06-02-2024,Joshua Joseph,60+,Male,Port Joelshire,South Dakota,Movie,Electronics,39466,15,33546.1,4,UPI,7188.84
BF00189,17-12-2023,Juan Hernandez DDS,46-60,Other,Johnsonmouth,Oklahoma,Power,Electronics,38490,23,29637.3,2,Debit Card,3562.56
BF00190,22-07-2024,Sharon Huynh,18-25,Male,Lopezmouth,Utah,Paper,Clothing,27571,46,14888.34,4,Gift Card,3273.25
BF00191,02-12-2023,Patrick Pearson,60+,Female,Michaelborough,Oregon,Use,Sports,43855,57,18857.65,1,UPI,1386.8
BF00192,02-05-2024,Rachel Campbell,26-35,Female,Whitetown,Maryland,Explain,Electronics,40812,21,32241.48,4,Cash,3569.85
BF00193,01-02-2024,Eric Barry PhD,60+,Other,Victorview,Utah,Most,Toys,22786,52,10937.28,3,Cash,1897.62
BF00194,11-05-2024,Anne Howard,26-35,Female,West Harold,Rhode Island,Section,Clothing,34134,19,27648.54,1,Cash,1583.28
BF00195,21-01-2024,Wendy Ayers,26-35,Male,Robertsberg,Montana,People,Toys,18018,59,7387.38,3,UPI,1777.52
BF00196,01-10-2024,Victoria Williams,46-60,Male,New Stephanie,Connecticut,Where,Clothing,47041,26,34810.34,4,Gift Card,2271.74
BF00197,16-01-2024,Tyler Mooney,18-25,Other,East Jesusville,Utah,Computer,Beauty,33870,62,12870.6,2,Debit Card,1164.2
